PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0003XX 38 ST E,3735015,MP 2018 019337,03,1/19/2018 10:00:00 AM,1/18/2018 7:00:00 PM,19:00:00,THEFT,Other Theft,07,1/19/2018 3:43:13 PM,16258,44.93414373,-93.27207746,-10383000.1685,5611159.7164,CENTRAL,1/19/2018 11:52:11 PM,1/20/2018 8:00:31 PM,1277,-10383000.1685,5611159.7164
0023XX Logan AV N,3735029,MP 2018 019728,04,1/19/2018 5:04:00 PM,1/19/2018 12:01:00 AM,00:01:00,THEFT,Other Theft,07,1/19/2018 5:03:56 PM,20759,45.00268872,-93.30550994,-10386721.8542,5621944.7806,JORDAN,1/20/2018 12:23:51 AM,1/20/2018 8:00:31 PM,1278,-10386721.8542,5621944.7806
0044XX 1 AV S,3735034,MP 2018 019657,05,1/19/2018 3:17:00 PM,1/18/2018 2:30:00 PM,14:30:00,BURGD,Burglary Of Dwelling,06,1/19/2018 5:19:40 PM,13146,44.92235838,-93.27664832,-10383508.9944,5609306.6735,KING FIELD,1/20/2018 12:53:56 AM,1/20/2018 8:00:31 PM,1279,-10383508.9944,5609306.6735
0019XX Minnehaha AV S,3735043,MP 2018 019767,03,1/19/2018 6:17:00 PM,1/19/2018 3:24:00 PM,15:24:00,THEFT,Other Theft,07,1/19/2018 6:16:49 PM,16989,44.96305499,-93.2447022,-10379952.7683,5615707.1249,SEWARD,1/19/2018 11:16:04 PM,1/20/2018 8:00:31 PM,1280,-10379952.7683,5615707.1249
0006XX Broadway ST NE,3735047,MP 2018 019837,02,1/19/2018 7:00:00 PM,1/19/2018 6:20:00 PM,18:20:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 6:59:25 PM,15862,44.99870816,-93.25689619,-10381310.1969,5621318.1153,ST. ANTHONY EAST,1/20/2018 5:24:37 PM,1/20/2018 8:00:31 PM,1281,-10381310.1969,5621318.1153
0006XX 3 ST S,3735050,MP 2018 019854,01,1/19/2018 7:30:00 PM,1/19/2018 6:47:00 PM,18:47:00,ASLT4,Aslt-police/emerg P,05,1/19/2018 7:31:12 PM,16839,44.97700051,-93.26013598,-10381670.8487,5617901.4136,DOWNTOWN EAST,1/20/2018 12:13:11 AM,1/20/2018 8:00:31 PM,1282,-10381670.8487,5617901.4136
0035XX Upton AV N,3735056,MP 2018 019942,04,1/19/2018 8:00:00 PM,1/17/2018 7:30:00 AM,07:30:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 7:59:13 PM,10493,45.0195682,-93.31462313,-10387736.3301,5624602.6248,CLEVELAND,1/20/2018 12:00:40 AM,1/20/2018 8:00:31 PM,1283,-10387736.3301,5624602.6248
0022XX California ST NE,3735058,MP 2018 019937,02,1/19/2018 8:30:00 PM,1/19/2018 7:50:00 PM,19:50:00,ROBPAG,Robbery Per Agg,04,1/19/2018 8:27:06 PM,16465,45.01057391,-93.26890302,-10382646.7915,5623186.2859,BOTTINEAU,1/19/2018 10:17:39 PM,1/20/2018 8:00:31 PM,1284,-10382646.7915,5623186.2859
Cedar AV S / Minnehaha PK E,3735065,MP 2018 019987,03,1/19/2018 9:05:00 PM,1/19/2018 8:30:00 PM,20:30:00,ROBPAG,Robbery Per Agg,04,1/19/2018 9:06:55 PM,,44.91607,-93.2473,-10380241.98,5608318.824,NORTHROP,1/20/2018 5:33:09 PM,1/20/2018 8:00:31 PM,1285,-10380241.98,5608318.824
0006XX Nicollet Mall  ,3735067,MP 2018 019859,01,1/19/2018 9:10:00 PM,1/19/2018 6:51:00 PM,18:51:00,THEFT,Other Theft,07,1/19/2018 9:09:21 PM,21933,44.97736687,-93.2717965,-10382968.892,5617959.0665,DOWNTOWN WEST,1/20/2018 7:35:19 AM,1/20/2018 8:00:31 PM,1286,-10382968.892,5617959.0665
0015XX 38 ST E,3735072,MP 2018 019889,03,1/19/2018 9:34:00 PM,1/19/2018 7:15:00 PM,19:15:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 9:34:30 PM,12319,44.93412333,-93.25176492,-10380738.9866,5611156.5087,BANCROFT,1/19/2018 11:46:24 PM,1/20/2018 8:00:31 PM,1287,-10380738.9866,5611156.5087
0006XX University AV NE,3735078,MP 2018 999690,02,1/19/2018 9:51:39 PM,1/18/2018 7:00:00 PM,19:00:00,THEFT,Other Theft,07,1/19/2018 9:51:39 PM,17619,44.99502432,-93.26121067,-10381790.4829,5620738.2005,ST. ANTHONY WEST,1/19/2018 9:51:44 PM,1/20/2018 8:00:31 PM,1288,-10381790.4829,5620738.2005
0050XX Logan AV S,3735080,MP 2018 019706,05,1/19/2018 9:45:00 PM,1/4/2018 8:00:00 AM,08:00:00,BURGD,Burglary Of Dwelling,06,1/19/2018 10:02:26 PM,13911,44.91143635,-93.30358493,-10386507.5632,5607589.7112,LYNNHURST,1/20/2018 12:41:20 AM,1/20/2018 8:00:31 PM,1289,-10386507.5632,5607589.7112
0011XX Morgan AV N,3735089,MP 2018 020132,04,1/19/2018 10:54:00 PM,1/19/2018 10:25:00 PM,22:25:00,ASLT2,Asslt W/dngrs Weapon,05,1/19/2018 10:54:08 PM,19615,44.98879259,-93.30447985,-10386607.1858,5619757.2808,NEAR - NORTH,1/20/2018 6:13:52 AM,1/20/2018 8:00:31 PM,1290,-10386607.1858,5619757.2808
0022XX Lyndale AV S,3735094,MP 2018 020117,05,1/19/2018 10:50:00 PM,1/19/2018 10:14:00 PM,22:14:00,THEFT,Other Theft,07,1/19/2018 11:20:24 PM,16534,44.96002038,-93.28801715,-10384774.5663,5615229.7083,LOWRY HILL EAST,1/20/2018 3:04:42 AM,1/20/2018 8:00:31 PM,1291,-10384774.5663,5615229.7083
0039XX Oakland AV S,3735101,MP 2018 020101,03,1/19/2018 11:58:00 PM,1/19/2018 9:30:00 PM,21:30:00,DASTR,Domestic Assault/Strangulation,05,1/19/2018 11:57:32 PM,11678,44.93145329,-93.26628056,-10382354.8604,5610736.6567,BRYANT,1/20/2018 9:08:20 AM,1/20/2018 8:00:31 PM,1292,-10382354.8604,5610736.6567
0018XX Emerson AV N,3735105,MP 2018 020158,04,1/20/2018 12:20:00 AM,1/19/2018 4:00:00 PM,16:00:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 12:19:28 AM,17366,44.99828085,-93.29411491,-10385453.3653,5621250.8452,NEAR - NORTH,1/20/2018 4:44:43 AM,1/20/2018 8:00:31 PM,1293,-10385453.3653,5621250.8452
0036XX 19 AV S,3735106,MP 2018 020196,03,1/20/2018 12:27:00 AM,1/18/2018 10:00:00 AM,10:00:00,THFTSW,Theft By Swindle,07,1/20/2018 12:26:09 AM,11434,44.93682985,-93.24481754,-10379965.6078,5611582.1148,STANDISH,1/20/2018 1:03:03 AM,1/20/2018 8:00:31 PM,1294,-10379965.6078,5611582.1148
0026XX Arthur ST NE,3735107,MP 2018 019991,02,1/20/2018 12:45:00 AM,1/15/2018 2:00:00 PM,14:00:00,BURGD,Burglary Of Dwelling,06,1/20/2018 12:41:17 AM,13668,45.01566647,-93.23200192,-10378538.9793,5623988.1887,AUDUBON PARK,1/20/2018 4:38:35 AM,1/20/2018 8:00:31 PM,1295,-10378538.9793,5623988.1887
0007XX Hennepin AV S,3735108,MP 2018 020182,01,1/20/2018 12:45:00 AM,1/19/2018 11:04:00 PM,23:04:00,ASLT2,Asslt W/dngrs Weapon,05,1/20/2018 12:45:34 AM,21654,44.97758226,-93.2753473,-10383364.1645,5617992.9622,DOWNTOWN WEST,1/20/2018 6:49:27 AM,1/20/2018 8:00:31 PM,1296,-10383364.1645,5617992.9622
0006XX 5 ST N,3735114,MP 2018 020159,01,1/20/2018 1:10:00 AM,1/19/2018 10:45:00 PM,22:45:00,SHOPLF,Shoplifting,07,1/20/2018 1:10:57 AM,16909,44.98504707,-93.28019274,-10383903.5564,5619167.7605,NORTH LOOP,1/20/2018 2:03:18 PM,1/20/2018 8:00:31 PM,1297,-10383903.5564,5619167.7605
0015XX New Brighton BL ,3735115,MP 2018 020012,02,1/20/2018 1:15:00 AM,1/19/2018 8:50:00 PM,20:50:00,THEFT,Other Theft,07,1/20/2018 1:11:13 AM,21511,45.00363907,-93.22883412,-10378186.3417,5622094.4019,NORTHEAST PARK,1/20/2018 4:39:52 AM,1/20/2018 8:00:31 PM,1298,-10378186.3417,5622094.4019
0026XX 27 AV S,3735126,MP 2018 020294,03,1/20/2018 2:00:00 AM,1/20/2018 1:06:00 AM,01:06:00,ASLT2,Asslt W/dngrs Weapon,05,1/20/2018 1:52:35 AM,18340,44.95469561,-93.23309846,-10378661.046,5614392.0544,SEWARD,1/20/2018 1:54:26 PM,1/20/2018 8:00:31 PM,1299,-10378661.046,5614392.0544
0027XX 1 AV S,3735129,MP 2018 020334,05,1/20/2018 2:00:00 AM,1/19/2018 6:00:00 PM,18:00:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 2:14:21 AM,16216,44.95283819,-93.27660134,-10383503.7645,5614099.8774,WHITTIER,1/20/2018 2:35:16 AM,1/20/2018 8:00:31 PM,1300,-10383503.7645,5614099.8774
0026XX 27 AV S,3735132,MP 2018 020300,01,1/20/2018 2:30:00 AM,1/20/2018 1:13:00 AM,01:13:00,ASLT2,Asslt W/dngrs Weapon,05,1/20/2018 2:34:53 AM,18340,44.95469561,-93.23309846,-10378661.046,5614392.0544,SEWARD,1/20/2018 2:05:11 PM,1/20/2018 8:00:31 PM,1301,-10378661.046,5614392.0544
35 AV N / Fremont AV N,3735140,MP 2018 020404,04,1/20/2018 3:33:00 AM,1/20/2018 2:52:00 AM,02:52:00,ROBPAG,Robbery Per Agg,04,1/20/2018 3:30:39 AM,,45.01856,-93.29559,-10385617.92,5624443.673,FOLWELL,1/20/2018 5:39:40 PM,1/20/2018 8:00:31 PM,1302,-10385617.92,5624443.673
24 AV NE / 4 ST NE,3735143,MP 2018 020371,02,1/20/2018 4:30:00 AM,1/20/2018 2:15:00 AM,02:15:00,ASLT2,Asslt W/dngrs Weapon,05,1/20/2018 3:50:49 AM,,45.01217,-93.26157,-10381830.75,5623438.076,HOLLAND,1/20/2018 9:00:54 AM,1/20/2018 8:00:31 PM,1303,-10381830.75,5623438.076
0004XX 1 AV N,3735147,MP 2018 020369,01,1/20/2018 4:20:00 AM,1/20/2018 1:55:00 AM,01:55:00,ROBPAG,Robbery Per Agg,04,1/20/2018 4:18:52 AM,17121,44.98080828,-93.27314066,-10383118.5232,5618500.6487,DOWNTOWN WEST,1/20/2018 2:04:48 PM,1/20/2018 8:00:31 PM,1304,-10383118.5232,5618500.6487
0006XX 5 ST N,3735153,MP 2018 020437,01,1/20/2018 4:46:00 AM,1/20/2018 4:15:00 AM,04:15:00,SHOPLF,Shoplifting,07,1/20/2018 4:46:24 AM,16909,44.98504707,-93.28019274,-10383903.5564,5619167.7605,NORTH LOOP,1/20/2018 2:03:08 PM,1/20/2018 8:00:31 PM,1305,-10383903.5564,5619167.7605
22 AV NE / Grand ST NE,3735173,MP 2018 020508,02,1/20/2018 8:00:00 AM,1/20/2018 7:15:00 AM,07:15:00,ROBPER,Robbery Of Person,04,1/20/2018 8:17:26 AM,,45.01007,-93.27011,-10382781.29,5623106.495,BOTTINEAU,1/20/2018 5:42:32 PM,1/20/2018 8:00:31 PM,1306,-10382781.29,5623106.495
0004XX 3 AV N,3735174,MP 2018 999689,01,1/20/2018 8:19:22 AM,1/19/2018 12:00:00 AM,00:00:00,THEFT,Other Theft,07,1/20/2018 8:19:22 AM,19501,44.98282654,-93.27477304,-10383300.2386,5618818.2817,NORTH LOOP,1/20/2018 8:19:25 AM,1/20/2018 8:00:31 PM,1307,-10383300.2386,5618818.2817
0027XX Benjamin ST NE,3735175,MP 2018 999688,02,1/20/2018 8:36:09 AM,1/19/2018 1:30:00 PM,13:30:00,THEFT,Other Theft,07,1/20/2018 8:36:09 AM,11224,45.01801253,-93.22941706,-10378251.2343,5624357.637,AUDUBON PARK,1/20/2018 8:36:12 AM,1/20/2018 8:00:31 PM,1308,-10378251.2343,5624357.637
HENNEPIN AV  / 5 ST S,3735179,MP 2018 999686,99,1/20/2018 9:03:53 AM,1/20/2018 12:00:00 AM,00:00:00,THEFT,Other Theft,07,1/20/2018 9:03:53 AM,,44.97957,-93.27257,-10383055.27,5618306.33,DOWNTOWN WEST,1/20/2018 9:03:56 AM,1/20/2018 8:00:31 PM,1309,-10383055.27,5618306.33
0006XX Summer ST NE,3735183,MP 2018 020523,02,1/20/2018 9:31:00 AM,1/19/2018 6:00:00 PM,18:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 9:30:19 AM,21520,44.99689303,-93.25307263,-10380884.5606,5621032.3703,ST. ANTHONY EAST,1/20/2018 10:39:37 AM,1/20/2018 8:00:31 PM,1310,-10380884.5606,5621032.3703
0027XX NICOLLET AV ,3735184,MP 2018 999685,05,1/20/2018 9:30:52 AM,1/20/2018 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 9:30:52 AM,16211,44.95283963,-93.27789224,-10383647.466,5614100.1039,WHITTIER,1/20/2018 9:30:55 AM,1/20/2018 8:00:31 PM,1311,-10383647.466,5614100.1039
0015XX 22 ST E,3735188,MP 2018 020534,03,1/20/2018 9:37:00 AM,1/20/2018 8:30:00 AM,08:30:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 9:35:56 AM,21471,44.96093029,-93.25292982,-10380868.6621,5615372.8562,VENTURA VILLAGE,1/20/2018 2:26:26 PM,1/20/2018 8:00:31 PM,1312,-10380868.6621,5615372.8562
7 AV NE / University AV NE,3735191,MP 2018 020468,02,1/20/2018 9:57:00 AM,1/20/2018 6:18:00 AM,06:18:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 9:56:07 AM,,44.99568,-93.26165,-10381839.94,5620840.787,ST. ANTHONY WEST,1/20/2018 2:06:26 PM,1/20/2018 8:00:31 PM,1313,-10381839.94,5620840.787
0008XX Thornton ST SE,3735195,MP 2018 999683,02,1/20/2018 10:27:04 AM,1/19/2018 9:30:00 PM,21:30:00,TFMV,Theft From Motr Vehc,07,1/20/2018 10:27:04 AM,16843,44.96604597,-93.21923135,-10377117.3663,5616177.7015,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 10:27:07 AM,1/20/2018 8:00:31 PM,1314,-10377117.3663,5616177.7015
0050XX Emerson AV N,3735196,MP 2018 020537,04,1/20/2018 10:37:00 AM,12/17/2017 12:00:00 AM,00:00:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 10:34:58 AM,17326,45.04660302,-93.29534145,-10385589.9038,5628861.1635,LIND - BOHANON,1/20/2018 12:18:33 PM,1/20/2018 8:00:31 PM,1315,-10385589.9038,5628861.1635
0006XX Huron BL SE,3735197,MP 2018 999682,02,1/20/2018 10:39:01 AM,1/20/2018 1:00:00 AM,01:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 10:39:01 AM,17584,44.96975782,-93.22283192,-10377518.1791,5616761.7292,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 10:39:02 AM,1/20/2018 8:00:31 PM,1316,-10377518.1791,5616761.7292
0030XX Blaisdell AV S,3735199,MP 2018 020593,05,1/20/2018 11:15:00 AM,1/19/2018 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 11:12:50 AM,16851,44.94746485,-93.27969498,-10383848.146,5613254.6899,LYNDALE,1/20/2018 11:54:25 AM,1/20/2018 8:00:31 PM,1317,-10383848.146,5613254.6899
0025XX 7 ST NE,3735201,MP 2018 020576,02,1/20/2018 11:33:00 AM,1/17/2018 4:00:00 PM,16:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 11:32:09 AM,20126,45.014068,-93.25792583,-10381424.816,5623736.4776,HOLLAND,1/20/2018 2:08:06 PM,1/20/2018 8:00:31 PM,1318,-10381424.816,5623736.4776
0009XX Lake ST E,3735209,MP 2018 020634,03,1/20/2018 12:45:00 PM,1/14/2018 6:15:00 PM,18:15:00,SHOPLF,Shoplifting,07,1/20/2018 12:46:06 PM,19104,44.94836007,-93.26076768,-10381741.1686,5613395.4966,POWDERHORN PARK,1/20/2018 2:19:53 PM,1/20/2018 8:00:31 PM,1319,-10381741.1686,5613395.4966
0008XX Thornton ST SE,3735215,MP 2018 020654,02,1/20/2018 2:00:00 PM,1/20/2018 5:00:00 AM,05:00:00,BURGD,Burglary Of Dwelling,06,1/20/2018 1:23:50 PM,16843,44.96604597,-93.21923135,-10377117.3663,5616177.7015,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 3:04:03 PM,1/20/2018 8:00:31 PM,1320,-10377117.3663,5616177.7015
0035XX Lyndale AV S,3735217,MP 2018 020656,05,1/20/2018 11:40:00 AM,1/20/2018 11:27:00 AM,11:27:00,SHOPLF,Shoplifting,07,1/20/2018 1:35:48 PM,19253,44.93859543,-93.28820235,-10384795.1827,5611859.768,LYNDALE,1/20/2018 5:40:00 PM,1/20/2018 8:00:31 PM,1321,-10384795.1827,5611859.768
00005X 9 ST S,3735225,MP 2018 999679,01,1/20/2018 2:22:01 PM,1/17/2018 11:00:00 PM,23:00:00,THEFT,Other Theft,07,1/20/2018 2:22:01 PM,19564,44.97529036,-93.2745667,-10383277.2689,5617632.2977,DOWNTOWN WEST,1/20/2018 2:22:03 PM,1/20/2018 8:00:31 PM,1322,-10383277.2689,5617632.2977
0008XX Thornton ST SE,3735228,MP 2018 020636,02,1/20/2018 3:00:00 PM,1/20/2018 5:00:00 AM,05:00:00,BURGD,Burglary Of Dwelling,06,1/20/2018 2:28:02 PM,16843,44.96604597,-93.21923135,-10377117.3663,5616177.7015,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 3:03:40 PM,1/20/2018 8:00:31 PM,1323,-10377117.3663,5616177.7015
0030XX 38 AV S,3735229,MP 2018 999678,03,1/20/2018 2:33:05 PM,1/19/2018 10:00:00 PM,22:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 2:33:05 PM,11840,44.94758761,-93.21783407,-10376961.8214,5613273.9984,LONGFELLOW,1/20/2018 2:33:10 PM,1/20/2018 8:00:31 PM,1324,-10376961.8214,5613273.9984
0024XX Lyndale AV S,3735230,MP 2018 020689,05,1/20/2018 2:30:00 PM,1/20/2018 1:40:00 PM,13:40:00,ROBBIZ,Robbery Of Business,04,1/20/2018 2:33:39 PM,16676,44.95823066,-93.28802905,-10384775.8908,5614948.1542,WHITTIER,1/20/2018 5:29:09 PM,1/20/2018 8:00:31 PM,1325,-10384775.8908,5614948.1542
0008XX Thornton ST SE,3735232,MP 2018 020627,02,1/20/2018 3:00:00 PM,1/20/2018 5:00:00 AM,05:00:00,BURGD,Burglary Of Dwelling,06,1/20/2018 2:36:06 PM,16843,44.96604597,-93.21923135,-10377117.3663,5616177.7015,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 3:03:17 PM,1/20/2018 8:00:31 PM,1326,-10377117.3663,5616177.7015
0006XX Jefferson ST NE,3735234,MP 2018 999677,02,1/20/2018 2:38:57 PM,1/19/2018 11:00:00 PM,23:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 2:38:57 PM,16322,44.99598622,-93.2549785,-10381096.7201,5620889.6212,ST. ANTHONY EAST,1/20/2018 2:39:00 PM,1/20/2018 8:00:31 PM,1327,-10381096.7201,5620889.6212
0008XX Thornton ST SE,3735236,MP 2018 020601,02,1/20/2018 3:00:00 PM,1/20/2018 5:00:00 AM,05:00:00,BURGD,Burglary Of Dwelling,06,1/20/2018 2:47:15 PM,16843,44.96604597,-93.21923135,-10377117.3663,5616177.7015,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 3:02:51 PM,1/20/2018 8:00:31 PM,1328,-10377117.3663,5616177.7015
0008XX Thornton ST SE,3735239,MP 2018 020599,02,1/20/2018 4:00:00 PM,1/20/2018 5:00:00 AM,05:00:00,BURGD,Burglary Of Dwelling,06,1/20/2018 2:58:14 PM,16843,44.96604597,-93.21923135,-10377117.3663,5616177.7015,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 3:15:11 PM,1/20/2018 8:00:31 PM,1329,-10377117.3663,5616177.7015
0008XX Thornton ST SE,3735241,MP 2018 020598,02,1/20/2018 4:00:00 PM,1/20/2018 5:00:00 AM,05:00:00,BURGD,Burglary Of Dwelling,06,1/20/2018 3:06:07 PM,16843,44.96604597,-93.21923135,-10377117.3663,5616177.7015,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 3:14:57 PM,1/20/2018 8:00:31 PM,1330,-10377117.3663,5616177.7015
0030XX Excelsior BL ,3735244,MP 2018 020715,05,1/20/2018 2:20:00 PM,1/20/2018 2:14:00 PM,14:14:00,SHOPLF,Shoplifting,07,1/20/2018 3:17:30 PM,16295,44.94671265,-93.3216039,-10388513.4263,5613136.3815,WEST CALHOUN,1/20/2018 5:40:43 PM,1/20/2018 8:00:31 PM,1331,-10388513.4263,5613136.3815
0001XX 9 ST S,3735246,MP 2018 999675,01,1/20/2018 3:27:27 PM,1/19/2018 12:00:00 AM,00:00:00,THEFT,Other Theft,07,1/20/2018 3:27:27 PM,17635,44.97410048,-93.27183254,-10382972.9036,5617445.0583,DOWNTOWN WEST,1/20/2018 3:27:29 PM,1/20/2018 8:00:31 PM,1332,-10382972.9036,5617445.0583
0007XX 4 ST N,3735248,MP 2018 999674,01,1/20/2018 3:47:32 PM,1/20/2018 3:15:00 PM,15:15:00,TFMV,Theft From Motr Vehc,07,1/20/2018 3:47:32 PM,16620,44.98720974,-93.28094392,-10383987.178,5619508.1465,NORTH LOOP,1/20/2018 3:47:38 PM,1/20/2018 8:00:31 PM,1333,-10383987.178,5619508.1465
0033XX Lyndale AV N,3748500,MP 2018 091126,04,3/22/2018 4:16:00 PM,3/22/2018 1:19:00 PM,13:19:00,DASLT2,2nd Deg Domes Aslt,05,3/22/2018 4:16:35 PM,11107,45.0157993,-93.28802615,-10384775.5676,5624009.1051,MCKINLEY,3/24/2018 9:18:26 PM,3/25/2018 8:00:34 PM,1334,-10384775.5676,5624009.1051
0018XX Fremont AV N,3748636,MP 2018 092199,04,3/23/2018 9:13:00 AM,3/9/2018 9:03:00 AM,09:03:00,MVTHFT,Other Vehicle Theft,08,3/23/2018 9:11:51 AM,15077,44.99828543,-93.29563845,-10385622.9657,5621251.567,NEAR - NORTH,3/25/2018 1:41:17 AM,3/25/2018 8:00:34 PM,1335,-10385622.9657,5621251.567
0028XX 26 AV S,3748753,MP 2018 092702,03,3/23/2018 6:45:00 PM,3/23/2018 3:30:00 PM,15:30:00,THEFT,Other Theft,07,3/23/2018 7:12:04 PM,19096,44.95108135,-93.2347243,-10378842.0334,5613823.5304,LONGFELLOW,3/26/2018 1:58:54 PM,3/26/2018 8:00:32 PM,1336,-10378842.0334,5613823.5304
0047XX Colfax AV N,3748843,MP 2018 093475,04,3/24/2018 4:25:00 AM,3/24/2018 4:13:00 AM,04:13:00,AUTOTH,Motor Vehicle Theft,08,3/24/2018 5:59:55 AM,10881,45.04117575,-93.29272821,-10385298.9986,5628006.097,LIND - BOHANON,3/25/2018 1:31:03 AM,3/25/2018 8:00:34 PM,1337,-10385298.9986,5628006.097
0002XX Broadway ST NE,3748913,MP 2018 093687,02,3/24/2018 2:15:00 PM,3/24/2018 12:01:00 AM,00:01:00,THEFT,Other Theft,07,3/24/2018 2:17:04 PM,18013,44.99870309,-93.26527248,-10382242.6416,5621317.3161,ST. ANTHONY WEST,3/24/2018 10:15:32 PM,3/25/2018 8:00:34 PM,1338,-10382242.6416,5621317.3161
0013XX Nicollet Mall  ,3748920,MP 2018 093778,01,3/24/2018 3:00:00 PM,3/20/2018 2:30:00 PM,14:30:00,TFMV,Theft From Motr Vehc,07,3/24/2018 3:02:34 PM,16714,44.97050597,-93.27771387,-10383627.6107,5616879.4491,LORING PARK,3/25/2018 9:37:38 AM,3/25/2018 8:00:34 PM,1339,-10383627.6107,5616879.4491
0026XX Hennepin AV S,3748923,MP 2018 093750,05,3/24/2018 1:01:00 PM,3/24/2018 12:47:00 PM,12:47:00,ROBBIZ,Robbery Of Business,04,3/24/2018 3:26:47 PM,17300,44.954203,-93.29739573,-10385818.5853,5614314.5647,EAST ISLES,3/24/2018 10:21:35 PM,3/25/2018 8:00:34 PM,1340,-10385818.5853,5614314.5647
Broadway AV W / Emerson AV N,3748930,MP 2018 093834,04,3/24/2018 3:54:00 PM,3/24/2018 2:47:00 PM,14:47:00,ASLT3,Aslt-sgnfcnt Bdly Hm,05,3/24/2018 3:54:03 PM,,44.99915,-93.29412,-10385453.55,5621388.396,HAWTHORNE,3/25/2018 12:13:51 PM,3/25/2018 8:00:34 PM,1341,-10385453.55,5621388.396
0029XX Oliver AV N,3748936,MP 2018 093916,04,3/24/2018 5:09:00 PM,3/23/2018 7:00:00 PM,19:00:00,THEFT,Other Theft,07,3/24/2018 5:09:25 PM,19855,45.01052688,-93.30696213,-10386883.5116,5623178.8805,JORDAN,3/24/2018 9:09:59 PM,3/25/2018 8:00:34 PM,1342,-10386883.5116,5623178.8805
0001XX 5 ST S,3748937,MP 2018 093926,01,3/24/2018 5:21:00 PM,3/23/2018 11:30:00 PM,23:30:00,ASLT3,Aslt-sgnfcnt Bdly Hm,05,3/24/2018 5:16:42 PM,21064,44.97791736,-93.26860772,-10382613.9185,5618045.6954,DOWNTOWN WEST,3/25/2018 5:05:51 AM,3/25/2018 8:00:34 PM,1343,-10382613.9185,5618045.6954
00002X 18 AV NE,3748941,MP 2018 093858,02,3/24/2018 6:10:00 PM,3/23/2018 3:23:00 PM,15:23:00,TFMV,Theft From Motr Vehc,07,3/24/2018 6:04:50 PM,21183,45.00601178,-93.27088854,-10382867.8181,5622467.9679,SHERIDAN,3/24/2018 10:13:07 PM,3/25/2018 8:00:34 PM,1344,-10382867.8181,5622467.9679
0027XX Lake ST E,3748942,MP 2018 093898,03,3/24/2018 6:11:00 PM,3/24/2018 3:48:00 PM,15:48:00,SHOPLF,Shoplifting,07,3/24/2018 6:10:57 PM,19099,44.94837563,-93.23238466,-10378581.5855,5613397.944,LONGFELLOW,3/25/2018 4:29:01 PM,3/25/2018 8:00:34 PM,1345,-10378581.5855,5613397.944
0022XX Arthur ST NE,3748945,MP 2018 093947,02,3/24/2018 6:23:00 PM,3/24/2018 5:29:00 PM,17:29:00,ONLTHT,On-line Theft,07,3/24/2018 6:21:13 PM,17350,45.01049144,-93.23202053,-10378541.0505,5623173.2992,WINDOM PARK,3/24/2018 10:45:11 PM,3/25/2018 8:00:34 PM,1346,-10378541.0505,5623173.2992
0030XX Penn AV N,3748955,MP 2018 094042,04,3/24/2018 7:40:00 PM,3/24/2018 7:18:00 PM,19:18:00,SHOPLF,Shoplifting,07,3/24/2018 7:39:21 PM,10716,45.01235203,-93.30823595,-10387025.3133,5623466.2709,JORDAN,3/24/2018 11:54:38 PM,3/25/2018 8:00:34 PM,1347,-10387025.3133,5623466.2709
0027XX Girard AV S,3748958,MP 2018 094029,05,3/24/2018 8:00:00 PM,3/17/2018 12:00:00 AM,00:00:00,BURGD,Burglary Of Dwelling,06,3/24/2018 7:54:30 PM,17298,44.95284915,-93.29696741,-10385770.9041,5614101.6014,LOWRY HILL EAST,3/24/2018 10:18:49 PM,3/25/2018 8:00:34 PM,1348,-10385770.9041,5614101.6014
0005XX 1 AV N,3748959,MP 2018 093978,01,3/24/2018 6:06:00 PM,3/24/2018 2:00:00 AM,02:00:00,THEFT,Other Theft,07,3/24/2018 8:05:08 PM,17104,44.97998625,-93.27428374,-10383245.7696,5618371.2806,DOWNTOWN WEST,3/25/2018 10:33:36 PM,3/26/2018 8:00:32 PM,1349,-10383245.7696,5618371.2806
